Dist Name,Total_Groundnut_Production_kg
Jamnagar,977650000.0
Junagadh,945490000.0
Rajkot,873870000.0
Bikaner,514090000.00000006
Ananthapur,454940000.0
Banaskantha,288210000.0
North Arcot / Vellore,280510000.0
Mahabubnagar,273250000.0
Chittoor,263380000.0
Sabarkantha,244480000.0
