Dist Name,Average_Rice_Yield_Kg_per_ha
Ludhiana,3745.6247826086956
Sangrur,3611.8691304347826
Thirunelveli,3477.4728571428573
Bhatinda,3445.913260869565
Madurai,3364.0663265306116
Kanyakumari,3329.125306122448
Ferozpur,3326.9556521739123
Patiala,3293.9260869565223
Jalandhar,3256.1099999999988
Kapurthala,3186.5484782608696
