Year,State Name,Average_Maize_Yield_Kg_per_ha
1984,Himachal Pradesh,1844.0400000000002
1984,Karnataka,2422.962631578948
1984,Madhya Pradesh,1247.384054054054
1984,Maharashtra,1226.8707692307692
1984,Punjab,1768.5454545454545
1984,Rajasthan,924.1169230769231
1984,Tamil Nadu,1462.2283333333332
1984,Telangana,1270.3344444444444
1984,Uttar Pradesh,1208.829782608696
1985,Andhra Pradesh,1352.5845454545454
1985,Chhattisgarh,986.1650000000001
1985,Gujarat,401.5794444444444
1985,Haryana,904.1666666666666
1985,Himachal Pradesh,1661.2155555555555
1985,Karnataka,2290.726842105263
1985,Madhya Pradesh,852.9702702702702
1985,Maharashtra,1123.0407692307692
1985,Punjab,1710.3727272727274
1985,Rajasthan,453.08230769230767
1985,Tamil Nadu,1552.6699999999998
1985,Telangana,1355.4066666666668
1985,Uttar Pradesh,974.2732608695652
1986,Andhra Pradesh,1435.0636363636363
1986,Chhattisgarh,957.9383333333332
1986,Gujarat,916.9277777777778
1986,Himachal Pradesh,2009.8599999999997
1986,Karnataka,2278.027894736842
1986,Madhya Pradesh,939.921891891892
1986,Maharashtra,603.1803846153846
1986,Punjab,2004.570909090909
1986,Rajasthan,437.26692307692304
1986,Tamil Nadu,1158.009090909091
1986,Telangana,1207.31
1986,Uttar Pradesh,1009.906739130435
1987,Andhra Pradesh,1372.2945454545454
1987,Chhattisgarh,1054.3866666666668
1987,Gujarat,292.60833333333335
1987,Himachal Pradesh,1457.668888888889
1987,Karnataka,1869.9384210526316
1987,Madhya Pradesh,1099.62972972973
1987,Maharashtra,768.4823076923076
1987,Rajasthan,310.72423076923076
1987,Tamil Nadu,1297.520909090909
1987,Telangana,1537.8000000000002
1987,Uttar Pradesh,758.4397826086955
1988,Andhra Pradesh,1868.225
1988,Chhattisgarh,1238.8433333333332
1988,Gujarat,1086.6494444444445
1988,Haryana,727.2728571428571
1988,Karnataka,2347.678421052632
1988,Madhya Pradesh,1268.1218918918917
1988,Maharashtra,805.5926923076925
1988,Rajasthan,929.2242307692309
1988,Tamil Nadu,1167.4545454545455
1988,Telangana,1669.8211111111113
1989,Andhra Pradesh,2471.179090909091
1989,Chhattisgarh,1428.5833333333333
1989,Gujarat,1340.5538888888889
1989,Karnataka,2655.801052631579
1989,Madhya Pradesh,1445.9905405405402
1989,Maharashtra,813.3426923076926
1989,Rajasthan,891.9426923076924
1989,Tamil Nadu,1046.0316666666665
1989,Telangana,2219.0
1989,Uttar Pradesh,1149.5334782608697
1989,Uttarakhand,1201.74
1990,Andhra Pradesh,1911.1072727272729
1990,Assam,582.0130000000001
1990,Bihar,1525.027272727273
1990,Chhattisgarh,1085.6049999999998
1990,Gujarat,1040.2322222222222
1990,Haryana,955.0857142857142
1990,Himachal Pradesh,2233.85
1990,Jharkhand,908.2316666666666
1990,Karnataka,2174.876315789473
1990,Kerala,0.0
1990,Madhya Pradesh,1194.4018918918919
1990,Maharashtra,881.4423076923077
1990,Orissa,1164.2953846153846
1990,Punjab,1798.1954545454546
1990,Rajasthan,1165.1361538461538
1990,Tamil Nadu,1256.6283333333333
1990,Telangana,2002.0711111111113
1990,Uttar Pradesh,1075.1678260869567
1990,Uttarakhand,1260.69
1990,West Bengal,953.5564285714285
1991,Andhra Pradesh,2074.871818181818
1991,Assam,576.4800000000001
1991,Bihar,1815.1281818181822
1991,Chhattisgarh,1159.4416666666666
1991,Gujarat,768.4944444444444
1991,Haryana,1069.5614285714287
1991,Himachal Pradesh,1874.8700000000001
1991,Jharkhand,1068.86
1991,Karnataka,2822.8578947368424
1991,Kerala,0.0
1991,Madhya Pradesh,896.879189189189
1991,Maharashtra,764.5057692307693
1991,Orissa,909.7430769230767
1991,Punjab,1859.2563636363636
1991,Rajasthan,622.285
1991,Tamil Nadu,1264.7475
1991,Telangana,1889.1866666666667
1991,Uttar Pradesh,1083.601956521739
1991,Uttarakhand,1225.75625
1991,West Bengal,692.665
1992,Andhra Pradesh,2622.8736363636367
1992,Assam,613.4069999999999
1992,Bihar,1665.6981818181819
1992,Chhattisgarh,1472.7966666666669
1992,Gujarat,1104.2633333333333
1992,Haryana,1543.8157142857142
1992,Himachal Pradesh,2159.4900000000002
1992,Jharkhand,1335.0766666666666
1992,Karnataka,2873.4142105263163
1992,Kerala,0.0
1992,Madhya Pradesh,1499.3205405405406
1992,Maharashtra,1203.1446153846152
1992,Orissa,1045.059230769231
1992,Punjab,1923.5936363636363
1992,Rajasthan,840.9534615384616
1992,Tamil Nadu,1251.3783333333336
1992,Telangana,2880.31
1992,Uttar Pradesh,1317.7967391304342
1992,Uttarakhand,1180.8262499999998
1992,West Bengal,1311.072142857143
1993,Andhra Pradesh,1874.0636363636365
1993,Assam,616.7529999999999
1993,Bihar,1940.2645454545454
1993,Chhattisgarh,1464.6666666666667
1993,Gujarat,717.5811111111111
1993,Haryana,1133.1228571428571
1993,Himachal Pradesh,2250.495
1993,Jharkhand,1660.5316666666668
1993,Karnataka,2773.1563157894734
1993,Kerala,0.0
1993,Madhya Pradesh,1384.987027027027
1993,Maharashtra,1354.8446153846157
1993,Orissa,1074.466923076923
1993,Punjab,1905.8763636363635
1993,Rajasthan,823.108076923077
1993,Tamil Nadu,837.3016666666666
1993,Telangana,2551.266666666667
1993,Uttar Pradesh,1086.3804347826092
1993,Uttarakhand,1147.3387500000001
1993,West Bengal,1379.6764285714285
1994,Andhra Pradesh,1898.7327272727273
1994,Assam,613.3570000000001
1994,Bihar,1817.510909090909
1994,Chhattisgarh,927.1366666666667
1994,Gujarat,560.3288888888889
1994,Haryana,725.3185714285713
1994,Himachal Pradesh,2122.3619999999996
1994,Jharkhand,1128.7666666666667
1994,Karnataka,2377.9189473684205
1994,Kerala,0.0
1994,Madhya Pradesh,912.8283783783784
1994,Maharashtra,1182.2323076923076
1994,Orissa,1142.0246153846153
1994,Punjab,1595.2200000000003
1994,Rajasthan,674.4919230769231
1994,Tamil Nadu,1186.5049999999999
1994,Telangana,2662.4666666666667
1994,Uttar Pradesh,1243.67
1994,Uttarakhand,1148.9174999999998
1994,West Bengal,1110.202857142857
1995,Andhra Pradesh,2462.4345454545455
1995,Assam,639.4190000000001
1995,Bihar,1945.333636363637
