State Name,Total_Oilseeds_Area_ha
Madhya Pradesh,185608010.0
Rajasthan,139658400.0
Gujarat,120078920.0
Maharashtra,118416660.0
Karnataka,90026220.0
Andhra Pradesh,84657450.0
Tamil Nadu,52532260.0
Telangana,33739900.0
Uttar Pradesh,31804730.0
Orissa,23847780.0
Kerala,22643010.0
Haryana,17260320.0
Chhattisgarh,16223500.0
West Bengal,13588920.0
Assam,8468070.0
Punjab,7248670.0
Bihar,2018880.0
Himachal Pradesh,688290.0
Jharkhand,584200.0
Uttarakhand,432930.0
