Dist Name,Yield_End,Yield_Start,Yield_Increase
Chamba,2691.78,676.34,2015.44
Vidisha,3900.0,2084.85,1815.15
Dewas,4100.02,2299.47,1800.5500000000006
Damoh,3500.0,1854.43,1645.57
Darjeeling,3011.63,1425.0,1586.63
