State Name,Production_Start,Production_End,Growth_Rate_Percentage
Andhra Pradesh,2242260000.0,2876520000.0,28.28663937277568
Haryana,899100000.0,1134700000.0,26.203981759537314
Orissa,698570000.0,535340000.0,-23.36630545256739
Assam,184610000.0,0.0,-100.0
Bihar,155690000.0,0.0,-100.0
